Stichprobe,Soll,Ist 1,Ist 2,Ist avg,Messpunkt avg,Fo,Fu
1,50,49.7,48.9,49.3,50.625,51.6,49.7
2,50,49.7,49.0,49.4,,,
3,50,50.5,49.5,50.0,,,
4,50,50.2,49.6,49.9,,,
5,50,51.2,50.6,50.9,,,
6,50,51.2,50.7,51.0,,,
7,50,51.1,51.6,51.4,,,
8,50,51.2,52.3,51.8,,,
9,50,51.3,51.8,51.6,,,
10,50,50.7,51.7,51.2,,,
Stichprobe,Soll,Ist 1,Ist 2,Ist avg,Messpunkt avg,Fo,Fu
1,100,100.0,99.5,99.8,99.86,101.0,98.7
2,100,97.6,98.0,97.8,,,
3,100,98.9,98.1,98.5,,,
4,100,99.9,99.1,99.5,,,
5,100,100.3,99.6,100.0,,,
6,100,100.2,99.6,99.9,,,
7,100,100.7,99.6,100.2,,,
8,100,100.9,100.3,100.6,,,
9,100,101.6,100.6,101.1,,,
10,100,101.9,100.8,101.4,,,
Stichprobe,Soll,Ist 1,Ist 2,Ist avg,Messpunkt avg,Fo,Fu
1,150,149.8,148.9,149.4,149.72,150.4,149.1
2,150,150.1,150.8,150.5,,,
3,150,149.7,148.1,148.9,,,
4,150,149.4,150.6,150.0,,,
5,150,149.1,150.0,149.6,,,
6,150,150.2,150.8,150.5,,,
7,150,149.0,149.5,149.3,,,
8,150,148.6,149.0,148.8,,,
9,150,150.0,150.7,150.4,,,
10,150,150.4,149.7,150.1,,,